llgsolver.__version__: 0.5.1
u0Ms = 0.9047786842338604 T
h_ani_x = 0 T
h_ani_z = 0.01 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
    124/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    125/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57066205  6.28318322 
    126/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079691  6.28318522 
    127/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    128/201      1.00000000  0.01000000  0.00000000  1.00000000  1.28716500  6.28293154 
    129/201      1.00000000  0.01000000  0.00000000  1.00000000  1.16845832  0.00004812 
    130/201      1.00000000  0.01000000  0.00000000  1.00000000  1.07608681  6.28316709 
    131/201      1.00000000  0.01000000  0.00000000  1.00000000  0.99715151  0.00003383 
    132/201      1.00000000  0.01000000  0.00000000  1.00000000  0.92726325  0.00006535 
    133/201      1.00000000  0.01000000  0.00000000  1.00000000  0.86337655  0.00000270 
    134/201      1.00000000  0.01000000  0.00000000  1.00000000  0.80381572  6.28314425 
    135/201      1.00000000  0.01000000  0.00000000  1.00000000  0.74778087  6.28315671 
    136/201      1.00000000  0.01000000  0.00000000  1.00000000  0.69449621  0.00002849 
    137/201      1.00000000  0.01000000  0.00000000  1.00000000  0.64351292  0.00001812 
    138/201      1.00000000  0.01000000  0.00000000  1.00000000  0.59437209  6.28318207 
    139/201      1.00000000  0.01000000  0.00000000  1.00000000  0.54684013  0.00000231 
    140/201      1.00000000  0.01000000  0.00000000  1.00000000  0.50066323  0.00000374 
    141/201      1.00000000  0.01000000  0.00000000  1.00000000  0.45559958  0.00001451 
    142/201      1.00000000  0.01000000  0.00000000  1.00000000  0.41152205  0.00000670 
    143/201      1.00000000  0.01000000  0.00000000  1.00000000  0.36826405  6.28317677 
    144/201      1.00000000  0.01000000  0.00000000  1.00000000  0.32573183  6.28317440 
    145/201      1.00000000  0.01000000  0.00000000  1.00000000  0.28379477  6.28317235 
    146/201      1.00000000  0.01000000  0.00000000  1.00000000  0.24236269  0.00000539 
    147/201      1.00000000  0.01000000  0.00000000  1.00000000  0.20135935  6.28317172 
    148/201      1.00000000  0.01000000  0.00000000  1.00000000  0.16069342  6.28318014 
    149/201      1.00000000  0.01000000  0.00000000  1.00000000  0.12029111  6.28316518 
    150/201      1.00000000  0.01000000  0.00000000  1.00000000  0.08008313  0.00001132 
    151/201      1.00000000  0.01000000  0.00000000  1.00000000  0.04001167  6.28312680 
    152/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.88682870 
    153/201      1.00000000  0.01000000  0.00000000  1.00000000  0.04000974  3.14166758 
    154/201      1.00000000  0.01000000  0.00000000  1.00000000  0.08008803  3.14158134 
    155/201      1.00000000  0.01000000  0.00000000  1.00000000  0.12028866  3.14161277 
    156/201      1.00000000  0.01000000  0.00000000  1.00000000  0.16068789  3.14159782 
    157/201      1.00000000  0.01000000  0.00000000  1.00000000  0.20135649  3.14160624 
    158/201      1.00000000  0.01000000  0.00000000  1.00000000  0.24236901  3.14158727 
    159/201      1.00000000  0.01000000  0.00000000  1.00000000  0.28379344  3.14160561 
    160/201      1.00000000  0.01000000  0.00000000  1.00000000  0.32572714  3.14160356 
    161/201      1.00000000  0.01000000  0.00000000  1.00000000  0.36827174  3.14160119 
    162/201      1.00000000  0.01000000  0.00000000  1.00000000  0.41151165  3.14158595 
    163/201      1.00000000  0.01000000  0.00000000  1.00000000  0.45559777  3.14157815 
    164/201      1.00000000  0.01000000  0.00000000  1.00000000  0.50064619  3.14158890 
    165/201      1.00000000  0.01000000  0.00000000  1.00000000  0.54686178  3.14159037 
    166/201      1.00000000  0.01000000  0.00000000  1.00000000  0.59439950  3.14159591 
    167/201      1.00000000  0.01000000  0.00000000  1.00000000  0.64348931  3.14157451 
    168/201      1.00000000  0.01000000  0.00000000  1.00000000  0.69450038  3.14156418 
    169/201      1.00000000  0.01000000  0.00000000  1.00000000  0.74774431  3.14162117 
    170/201      1.00000000  0.01000000  0.00000000  1.00000000  0.80378882  3.14163365 
    171/201      1.00000000  0.01000000  0.00000000  1.00000000  0.86324964  3.14158989 
    172/201      1.00000000  0.01000000  0.00000000  1.00000000  0.92732749  3.14152718 
    173/201      1.00000000  0.01000000  0.00000000  1.00000000  0.99741517  3.14155997 
    174/201      1.00000000  0.01000000  0.00000000  1.00000000  1.07563829  3.14160836 
    175/201      1.00000000  0.01000000  0.00000000  1.00000000  1.16770552  3.14154025 
    176/201      1.00000000  0.01000000  0.00000000  1.00000000  1.28637004  3.14175967 
    177/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    178/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    179/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    180/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    181/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    182/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    183/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    184/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    185/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    186/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    187/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    188/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    189/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    190/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    191/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    192/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    193/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    194/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    195/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    196/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    197/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    198/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    199/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    200/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    201/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
'solve_hysteresis'  127248.76 ms
