llgsolver.__version__: 0.5.1
u0Ms = 0.9173450548482196 T
h_ani_x = 0 T
h_ani_z = 0.29265494515178037 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
    105/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.93203833 
    106/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.92948994 
    107/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.95530299 
    108/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.00947693 
    109/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.09201174 
    110/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.48609222 
    111/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.90853296 
    112/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.07614807 
    113/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.55530804 
    114/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.06282709 
    115/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.88189019 
    116/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.44612628 
    117/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.03871980 
    118/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.94285600 
    119/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.87534905 
    120/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.83619839 
    121/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.82540342 
    122/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  6.12614881 
    123/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.17206311 
    124/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.52951628 
    125/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.63213689 
    126/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.04629462 
    127/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.48880319 
    128/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.24284683 
    129/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.74205373 
    130/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.55279319 
    131/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.10869315 
    132/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.97612256 
    133/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.87189435 
    134/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.79600633 
    135/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.03164173 
    136/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.01242738 
    137/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.30473094 
    138/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.62536387 
    139/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.97432239 
    140/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.35160196 
    141/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.75719766 
    142/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.19110353 
    143/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.93649773 
    144/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.71018655 
    145/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.22897449 
    146/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.05921946 
    147/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.20090605 
    148/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.08764382 
    149/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.00259276 
    150/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.22890448 
    151/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.48334794 
    152/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.76585861 
    153/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.07634123 
    154/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.41464688 
    155/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.06370846 
    156/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.45667466 
    157/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.15881262 
    158/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.88331845 
    159/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.59267363 
    160/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.54346102 
